"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 03","760.37","769.68","773.15","760.07","849.51M","-1.15%"
"2024- 09- 02","769.21","769.85","770.01","764.15","742.71M","0.20%"
"2024- 08- 30","767.66","758.19","768.31","757.87","823.30M","1.54%"
"2024- 08- 29","756.04","756.33","758.99","754.00","837.87M","-0.85%"
"2024- 08- 28","762.50","766.32","767.28","761.06","868.58M","-0.32%"
"2024- 08- 27","764.95","765.10","767.37","757.08","833.34M","-0.24%"
"2024- 08- 26","766.79","776.94","777.91","764.46","828.77M","-0.84%"
"2024- 08- 23","773.26","765.49","774.20","764.83","904.33M","-0.03%"
"2024- 08- 22","773.47","782.59","783.89","768.48","950.99M","-0.82%"
"2024- 08- 21","779.87","783.98","784.92","775.30","1.07B","-0.96%"
"2024- 08- 20","787.44","783.73","787.95","783.35","997.06M","1.28%"
"2024- 08- 19","777.47","787.32","788.79","776.71","1.14B","-1.13%"
"2024- 08- 16","786.33","787.34","788.86","783.88","1.08B","1.22%"
"2024- 08- 14","776.83","775.11","778.66","774.17","1.11B","1.56%"
"2024- 08- 13","764.86","771.98","773.90","757.19","1.17B","-1.02%"
"2024- 08- 12","772.72","767.21","775.31","767.21","885.11M","1.08%"
"2024- 08- 09","764.43","759.91","768.21","759.91","843.85M","2.57%"
"2024- 08- 08","745.28","738.29","751.51","732.74","1.01B","-0.44%"
"2024- 08- 07","748.54","731.82","754.41","731.44","947.16M","2.14%"
"2024- 08- 06","732.87","709.04","738.77","707.72","1.08B","6.02%"
"2024- 08- 05","691.28","765.57","765.57","672.57","1.17B","-11.30%"
"2024- 08- 02","779.33","799.45","799.97","778.39","845.79M","-4.20%"
"2024- 08- 01","813.53","807.52","815.28","807.50","644.08M","1.29%"
"2024- 07- 31","803.15","802.00","804.17","795.18","798.87M","-0.08%"
"2024- 07- 30","803.78","805.17","807.38","800.36","842.01M","-0.52%"
"2024- 07- 29","807.99","800.64","808.73","800.39","652.99M","1.31%"
"2024- 07- 26","797.56","799.97","802.06","795.02","777.35M","0.03%"
"2024- 07- 25","797.29","802.28","803.55","794.23","1.03B","-2.08%"
"2024- 07- 24","814.25","809.45","819.81","807.55","837.08M","0.26%"
"2024- 07- 23","812.12","816.30","821.93","808.79","939.60M","0.27%"
"2024- 07- 22","809.96","827.98","828.09","806.79","906.83M","-2.26%"
"2024- 07- 19","828.72","820.29","828.82","819.13","871.20M","0.76%"
"2024- 07- 18","822.48","820.14","824.96","812.90","869.76M","-0.84%"
"2024- 07- 17","829.41","841.28","843.10","829.09","828.95M","-1.21%"
"2024- 07- 16","839.61","850.96","851.20","837.29","874.49M","-1.56%"
"2024- 07- 15","852.88","852.62","852.93","847.68","785.85M","0.30%"
"2024- 07- 12","850.37","848.04","855.03","845.03","764.43M","-0.24%"
"2024- 07- 11","852.42","861.73","862.61","851.72","835.02M","-0.71%"
"2024- 07- 10","858.55","859.01","860.82","854.60","896.44M","-0.22%"
"2024- 07- 09","860.42","860.18","864.11","857.60","1.05B","0.13%"
"2024- 07- 08","859.27","848.59","859.27","848.59","742.51M","1.39%"
"2024- 07- 05","847.49","842.50","849.25","841.98","780.46M","0.79%"
"2024- 07- 04","840.81","838.90","844.10","838.90","744.76M","0.56%"
"2024- 07- 03","836.10","832.98","838.89","829.50","788.69M","0.75%"
"2024- 07- 02","829.91","846.86","847.39","828.49","710.21M","-2.04%"
"2024- 07- 01","847.15","840.59","847.97","840.40","620.76M","0.80%"
"2024- 06- 28","840.44","840.11","842.36","838.29","706.93M","0.21%"
"2024- 06- 27","838.65","841.12","844.62","837.80","814.04M","-0.41%"
"2024- 06- 26","842.12","845.91","846.76","839.34","704.56M","0.02%"
"2024- 06- 25","841.99","839.50","844.54","836.12","663.21M","0.06%"
"2024- 06- 24","841.52","852.27","852.48","841.43","670.00M","-1.31%"
"2024- 06- 21","852.67","853.48","856.02","848.50","772.54M","-0.56%"
"2024- 06- 20","857.51","861.44","864.70","854.94","637.74M","-0.43%"
"2024- 06- 19","861.17","860.66","866.21","856.16","1.03B","0.26%"
"2024- 06- 18","858.95","863.32","864.81","855.35","1.04B","0.00%"
"2024- 06- 17","858.96","860.13","864.10","857.11","820.23M","-0.37%"
"2024- 06- 14","862.19","872.69","873.37","859.69","975.48M","-1.05%"
"2024- 06- 13","871.33","879.52","879.52","871.12","928.80M","0.08%"
"2024- 06- 12","870.67","871.36","876.45","867.32","1.22B","0.27%"
"2024- 06- 11","868.36","866.88","872.36","865.91","1.04B","0.42%"
"2024- 06- 10","864.71","862.21","867.60","860.90","907.18M","-0.17%"
"2024- 06- 07","866.18","856.17","866.48","855.06","848.54M","1.81%"
"2024- 06- 05","850.75","849.33","852.18","844.13","904.88M","0.58%"
"2024- 06- 04","845.84","844.62","851.49","841.81","911.01M","0.13%"
"2024- 06- 03","844.72","840.33","847.07","839.58","976.80M","0.56%"
"2024- 05- 31","839.98","835.01","840.02","829.81","1.45B","0.96%"
"2024- 05- 30","831.99","835.63","840.74","831.02","1.41B","-0.77%"
"2024- 05- 29","838.45","849.60","849.93","838.08","1.38B","-1.48%"
"2024- 05- 28","851.01","847.46","852.42","846.90","1.15B","0.36%"
"2024- 05- 27","847.99","843.76","848.13","836.65","981.44M","1.02%"
"2024- 05- 24","839.41","840.70","845.48","836.95","816.03M","-0.85%"
"2024- 05- 23","846.58","846.50","849.32","839.16","1.01B","0.10%"
"2024- 05- 22","845.72","850.40","850.59","844.97","914.52M","-0.09%"
"2024- 05- 21","846.51","849.32","849.32","843.62","1.07B","-0.07%"
"2024- 05- 20","847.08","856.22","857.51","843.22","1.02B","-0.93%"
"2024- 05- 17","855.06","869.06","869.60","854.47","938.50M","-1.76%"
"2024- 05- 16","870.37","872.31","874.86","868.51","956.09M","0.95%"
"2024- 05- 14","862.15","857.44","865.43","856.88","978.60M","0.90%"
"2024- 05- 13","854.43","866.67","867.08","852.75","907.15M","-1.13%"
"2024- 05- 10","864.16","873.56","875.21","864.03","961.25M","-0.69%"
"2024- 05- 09","870.15","871.17","873.53","869.00","1.02B","-0.26%"
"2024- 05- 08","872.42","870.11","873.65","862.81","967.42M","0.13%"
"2024- 05- 07","871.26","874.69","876.94","869.75","802.23M","0.66%"
"2024- 05- 03","865.59","872.27","875.11","865.21","843.08M","-0.22%"
"2024- 05- 02","867.48","865.78","870.33","864.98","854.45M","-0.17%"
"2024- 04- 30","868.93","872.08","875.64","867.32","792.64M","-0.09%"
"2024- 04- 29","869.72","860.53","869.73","860.53","772.59M","1.51%"
"2024- 04- 26","856.82","860.00","862.80","852.80","704.66M","0.42%"
"2024- 04- 25","853.26","855.78","865.15","853.13","811.57M","-1.04%"
"2024- 04- 24","862.23","856.37","863.12","855.79","957.92M","1.99%"
"2024- 04- 23","845.44","848.88","853.62","844.50","886.59M","-0.04%"
"2024- 04- 22","845.82","844.95","854.16","840.29","898.76M","0.46%"
"2024- 04- 19","841.91","849.99","850.07","824.99","1.10B","-1.61%"
"2024- 04- 18","855.65","833.38","856.05","833.38","956.76M","2.72%"
"2024- 04- 17","833.03","839.30","845.45","833.03","930.98M","0.03%"
"2024- 04- 16","832.81","845.54","848.24","829.76","931.17M","-2.30%"
"2024- 04- 15","852.42","850.21","854.51","842.84","837.14M","-0.94%"
"2024- 04- 12","860.47","863.16","867.01","858.24","740.52M","0.28%"
"2024- 04- 11","858.10","850.80","860.83","847.54","661.66M","-0.14%"
"2024- 04- 09","859.33","864.00","871.18","856.49","976.47M","-0.14%"
"2024- 04- 08","860.57","873.76","873.76","859.09","1.06B","-1.34%"
"2024- 04- 05","872.29","872.47","879.34","867.45","1.08B","-1.20%"
"2024- 04- 04","882.90","885.53","889.70","878.12","979.42M","0.33%"
"2024- 04- 03","879.96","883.22","883.95","874.77","994.52M","-1.30%"
"2024- 04- 02","891.59","912.07","913.79","888.88","1.04B","-2.29%"
"2024- 04- 01","912.45","909.62","920.05","907.48","914.27M","0.77%"
"2024- 03- 29","905.50","912.31","914.25","903.61","946.87M","-0.50%"
"2024- 03- 28","910.05","912.33","914.38","908.98","1.10B","-0.13%"
"2024- 03- 27","911.25","914.33","918.49","905.26","1.14B","-0.53%"
"2024- 03- 26","916.09","915.49","922.57","910.86","1.04B","0.26%"
"2024- 03- 25","913.69","906.45","916.01","905.70","961.28M","1.07%"
"2024- 03- 22","903.98","902.70","905.64","900.84","1.08B","-0.03%"
"2024- 03- 21","904.29","900.46","906.26","899.24","1.07B","1.44%"
"2024- 03- 20","891.45","894.34","896.44","890.00","1.05B","-0.05%"
"2024- 03- 19","891.91","893.49","893.49","884.45","1.10B","-0.29%"
"2024- 03- 18","894.48","882.58","894.48","882.58","973.18M","1.59%"
"2024- 03- 15","880.46","882.67","884.60","875.87","1.11B","-0.80%"
"2024- 03- 14","887.52","889.53","892.31","881.95","1.07B","-0.27%"
"2024- 03- 13","889.93","892.41","894.39","881.33","1.21B","0.02%"
"2024- 03- 12","889.71","877.37","889.71","876.62","1.06B","1.57%"
"2024- 03- 11","875.93","870.41","875.93","868.48","1.08B","0.31%"
"2024- 03- 08","873.18","869.18","873.18","866.18","1.27B","1.14%"
"2024- 03- 07","863.37","874.30","874.53","860.01","1.14B","-0.84%"
"2024- 03- 06","870.67","861.67","872.06","859.71","1.11B","0.50%"
"2024- 03- 05","866.37","869.36","869.36","863.40","1.21B","-0.76%"
"2024- 03- 04","872.97","869.36","875.30","869.36","1.14B","1.16%"
"2024- 02- 29","862.96","862.55","865.88","858.30","1.37B","-0.05%"
"2024- 02- 28","863.39","859.78","868.71","858.56","1.10B","1.13%"
"2024- 02- 27","853.75","870.10","870.10","850.77","1.19B","-1.57%"
"2024- 02- 26","867.40","869.08","872.52","866.43","1.22B","-0.13%"
"2024- 02- 23","868.57","873.21","875.58","866.22","1.49B","-0.18%"
"2024- 02- 22","870.11","868.22","871.46","864.56","1.48B","0.70%"
"2024- 02- 21","864.07","861.58","872.38","860.91","1.73B","-0.24%"
"2024- 02- 20","866.17","858.08","866.17","854.58","1.39B","0.90%"
"2024- 02- 19","858.47","854.28","862.08","853.52","1.27B","0.10%"
"2024- 02- 16","857.60","863.69","864.24","854.72","1.34B","-0.19%"
"2024- 02- 15","859.21","860.13","861.37","852.79","1.22B","0.69%"
"2024- 02- 14","853.30","833.24","854.44","831.56","1.09B","0.96%"
"2024- 02- 13","845.15","831.14","846.58","830.66","896.29M","2.25%"
"2024- 02- 08","826.58","816.82","828.03","816.27","912.50M","1.81%"
"2024- 02- 07","811.92","811.51","820.06","809.18","827.98M","0.61%"
"2024- 02- 06","807.03","804.36","808.39","795.37","1.07B","-0.12%"
"2024- 02- 05","807.99","812.28","813.83","807.36","974.41M","-0.83%"
"2024- 02- 02","814.77","803.71","817.74","803.71","1.10B","2.01%"
"2024- 02- 01","798.73","796.26","800.91","786.28","1.12B","-0.06%"
"2024- 01- 31","799.24","813.80","818.90","799.24","1.14B","-2.40%"
"2024- 01- 30","818.86","826.00","828.54","811.57","1.10B","-0.03%"
"2024- 01- 29","819.14","841.21","841.21","815.54","1.25B","-2.16%"
"2024- 01- 26","837.24","818.76","839.52","817.06","1.24B","1.64%"
"2024- 01- 25","823.74","833.34","833.34","820.64","1.57B","-1.49%"
"2024- 01- 24","836.21","841.45","842.90","828.12","1.42B","-0.46%"
"2024- 01- 23","840.11","840.62","848.65","833.24","1.25B","0.05%"
"2024- 01- 22","839.69","848.87","849.32","836.89","1.32B","-0.35%"
"2024- 01- 19","842.67","848.66","856.05","837.87","1.22B","0.28%"
"2024- 01- 18","840.33","834.01","848.63","830.06","1.17B","0.87%"
"2024- 01- 17","833.05","856.61","856.97","832.70","1.11B","-2.55%"
"2024- 01- 16","854.83","857.39","864.90","846.47","1.03B","-0.57%"
"2024- 01- 15","859.71","865.45","869.69","855.00","996.41M","-0.96%"
"2024- 01- 12","868.08","878.69","880.30","865.81","1.11B","-1.64%"
"2024- 01- 11","882.53","878.12","885.75","878.12","1.48B","0.81%"
"2024- 01- 10","875.46","884.08","884.08","872.68","1.27B","-1.04%"
"2024- 01- 09","884.64","886.10","890.06","881.97","1.17B","0.60%"
"2024- 01- 08","879.34","880.24","882.88","875.34","1.16B","0.11%"
"2024- 01- 05","878.33","866.81","878.98","864.86","1.05B","1.39%"
"2024- 01- 04","866.25","865.35","872.79","860.45","1.22B","-0.61%"
"2024- 01- 03","871.57","872.21","872.44","865.12","1.26B","-0.84%"
"2024- 01- 02","878.93","866.08","878.93","865.26","1.15B","1.43%"
"2023- 12- 28","866.57","860.42","866.57","856.53","1.25B","0.79%"
"2023- 12- 27","859.79","851.49","860.29","851.21","1.22B","1.35%"
"2023- 12- 26","848.34","855.75","857.24","846.32","1.08B","-0.73%"
"2023- 12- 22","854.62","863.35","864.79","853.49","1.21B","-0.56%"
"2023- 12- 21","859.44","855.76","867.33","851.82","1.15B","-0.41%"
"2023- 12- 20","862.98","861.96","865.02","860.56","1.12B","0.55%"
"2023- 12- 19","858.30","850.36","858.65","849.33","1.07B","0.86%"
"2023- 12- 18","850.96","844.78","854.07","843.61","802.09M","1.51%"
"2023- 12- 15","838.31","844.76","846.70","834.94","1.08B","-0.27%"
"2023- 12- 14","840.59","841.75","845.54","834.66","1.04B","1.36%"
"2023- 12- 13","829.31","837.55","838.25","828.72","1.07B","-1.22%"
"2023- 12- 12","839.53","835.41","842.56","833.67","1.22B","0.51%"
"2023- 12- 11","835.25","831.83","839.15","831.64","930.37M","0.59%"
"2023- 12- 08","830.37","818.71","830.99","818.50","862.26M","2.11%"
"2023- 12- 07","813.20","820.46","820.46","810.90","794.86M","-0.77%"
"2023- 12- 06","819.54","816.66","822.39","814.00","882.76M","0.76%"
"2023- 12- 05","813.38","823.86","828.25","810.52","1.06B","-1.83%"
"2023- 12- 04","828.52","828.66","837.95","823.99","1.01B","0.15%"
"2023- 12- 01","827.24","826.30","831.03","822.03","997.87M","-0.53%"
"2023- 11- 30","831.68","819.23","831.68","819.23","774.89M","1.12%"
"2023- 11- 29","822.44","817.90","823.81","812.95","916.37M","0.73%"
"2023- 11- 28","816.44","811.76","816.62","811.06","933.90M","0.76%"
"2023- 11- 27","810.25","816.55","816.60","809.26","794.00M","-0.58%"
"2023- 11- 24","815.00","817.02","818.74","814.22","741.07M","-0.12%"
"2023- 11- 23","815.98","816.16","819.91","813.25","909.85M","0.17%"
"2023- 11- 22","814.61","811.20","817.28","809.83","842.43M","-0.29%"
"2023- 11- 21","817.01","816.34","819.14","811.24","897.45M","0.48%"
"2023- 11- 20","813.08","797.83","815.27","797.51","786.86M","1.75%"
"2023- 11- 17","799.06","807.61","807.62","795.66","804.59M","-1.49%"
"2023- 11- 16","811.11","809.12","815.82","804.74","905.41M","0.22%"
"2023- 11- 15","809.36","808.68","813.06","805.27","816.59M","1.91%"
"2023- 11- 14","794.19","779.47","794.91","779.47","841.49M","2.55%"
"2023- 11- 13","774.42","796.41","798.15","774.33","998.05M","-1.89%"
"2023- 11- 10","789.31","792.86","794.73","785.45","863.20M","-1.69%"
"2023- 11- 09","802.87","813.89","814.92","797.44","921.92M","-1.00%"
"2023- 11- 08","811.02","821.98","831.45","810.15","884.42M","-1.62%"
"2023- 11- 07","824.37","842.16","847.37","805.81","928.09M","-1.80%"
"2023- 11- 06","839.45","794.49","839.45","793.72","849.33M","7.34%"
"2023- 11- 03","782.05","779.28","782.53","768.38","810.11M","1.19%"
"2023- 11- 02","772.84","753.37","773.39","753.37","794.26M","4.55%"
"2023- 11- 01","739.23","742.98","749.65","737.52","753.92M","0.43%"
"2023- 10- 31","736.10","758.65","759.24","734.20","868.12M","-2.78%"
"2023- 10- 30","757.12","747.24","760.87","744.63","648.82M","1.15%"
"2023- 10- 27","748.49","749.87","760.51","738.92","665.63M","0.62%"
"2023- 10- 26","743.85","751.64","756.43","740.51","839.57M","-3.50%"
"2023- 10- 25","770.84","788.01","788.01","770.84","1.02B","-1.79%"
"2023- 10- 24","784.86","771.03","784.86","750.32","951.76M","2.77%"
"2023- 10- 23","763.69","766.56","774.36","762.51","762.34M","-0.72%"
"2023- 10- 20","769.25","775.81","779.92","759.40","980.56M","-1.89%"
"2023- 10- 19","784.04","796.15","796.36","782.63","878.33M","-3.07%"
"2023- 10- 18","808.89","816.92","820.09","807.45","864.01M","-1.40%"
"2023- 10- 17","820.38","817.47","825.33","817.29","948.11M","1.21%"
"2023- 10- 16","810.54","812.57","813.19","800.62","1.05B","-1.49%"
"2023- 10- 13","822.78","831.21","834.66","817.66","1.06B","-1.52%"
"2023- 10- 12","835.49","822.27","835.79","822.27","1.04B","2.25%"
"2023- 10- 11","817.12","805.03","821.83","805.03","856.19M","2.78%"
"2023- 10- 10","795.00","821.22","823.27","792.91","978.04M","-2.62%"
"2023- 10- 06","816.39","803.88","818.37","803.88","776.64M","1.92%"
"2023- 10- 05","801.02","817.89","820.06","800.36","874.56M","-0.79%"
"2023- 10- 04","807.40","832.30","832.30","806.47","816.99M","-4.00%"
"2023- 09- 27","841.02","823.20","841.97","821.71","844.48M","1.59%"
"2023- 09- 26","827.82","841.80","845.30","827.82","1.12B","-1.35%"
"2023- 09- 25","839.17","856.79","859.04","839.17","869.43M","-2.12%"
"2023- 09- 22","857.35","851.93","860.68","847.56","1.03B","-0.39%"
"2023- 09- 21","860.68","875.52","879.82","859.51","1.05B","-2.50%"
"2023- 09- 20","882.72","883.74","886.65","874.92","1.02B","-0.13%"
"2023- 09- 19","883.89","891.57","894.26","882.42","1.05B","-0.83%"
"2023- 09- 18","891.29","892.18","896.37","889.99","906.67M","-0.86%"
"2023- 09- 15","899.03","900.62","902.40","897.11","941.82M","-0.05%"
"2023- 09- 14","899.47","888.19","899.47","886.46","1.02B","1.90%"
"2023- 09- 13","882.72","895.94","899.80","882.27","1.08B","-1.71%"
"2023- 09- 12","898.04","918.10","918.96","895.96","1.18B","-1.59%"
"2023- 09- 11","912.55","918.43","918.43","907.90","975.19M","-0.18%"
"2023- 09- 08","914.18","908.08","914.18","902.77","1.25B","0.86%"
"2023- 09- 07","906.36","914.63","921.79","902.95","1.28B","-1.26%"
"2023- 09- 06","917.95","923.61","927.28","916.08","1.09B","-0.38%"
"2023- 09- 05","921.48","918.85","922.65","913.02","1.08B","0.25%"
"2023- 09- 04","919.16","918.12","921.63","913.04","1.11B","-0.06%"
"2023- 09- 01","919.74","926.37","928.00","919.74","1.07B","-0.93%"
"2023- 08- 31","928.40","925.57","930.42","923.40","1.28B","0.50%"
"2023- 08- 30","923.81","925.08","926.44","921.05","1.28B","0.83%"
"2023- 08- 29","916.24","911.94","918.39","907.82","1.31B","0.75%"
"2023- 08- 28","909.38","907.53","909.48","901.84","1.07B","1.11%"
"2023- 08- 25","899.38","891.21","902.81","890.08","1.16B","-0.26%"
"2023- 08- 24","901.74","893.46","902.64","892.12","1.28B","2.14%"
"2023- 08- 23","882.87","892.65","892.65","881.40","1.44B","-1.17%"
"2023- 08- 22","893.33","898.40","899.21","889.71","1.23B","0.52%"
"2023- 08- 21","888.71","881.09","894.58","879.80","1.06B","1.30%"
"2023- 08- 18","877.32","878.52","882.08","874.27","1.12B","-0.98%"
"2023- 08- 17","886.04","875.15","887.67","863.32","1.11B","0.88%"
"2023- 08- 16","878.29","893.93","895.42","877.85","1.22B","-2.59%"
"2023- 08- 14","901.68","907.43","908.13","894.08","1.18B","-1.15%"
"2023- 08- 11","912.20","913.97","918.18","908.27","1.39B","0.10%"
"2023- 08- 10","911.29","904.68","912.65","899.01","1.26B","0.25%"
"2023- 08- 09","908.98","891.08","912.94","889.94","1.01B","1.86%"
"2023- 08- 08","892.34","901.76","903.78","889.25","1.15B","-0.65%"
"2023- 08- 07","898.22","913.25","913.25","894.48","1.10B","-2.20%"
"2023- 08- 04","918.43","921.16","922.89","914.30","1.06B","-0.21%"
"2023- 08- 03","920.32","911.28","920.41","897.89","1.15B","1.16%"
"2023- 08- 02","909.76","931.17","940.06","907.87","951.13M","-3.18%"
"2023- 08- 01","939.67","944.71","952.12","926.75","924.07M","0.40%"
"2023- 07- 31","935.97","923.01","938.43","921.39","691.58M","2.43%"
"2023- 07- 28","913.74","880.23","914.60","877.96","677.66M","3.39%"
"2023- 07- 27","883.79","897.44","912.57","878.80","892.73M","-1.87%"
"2023- 07- 26","900.63","945.57","956.40","886.14","1.24B","-4.18%"
"2023- 07- 25","939.96","932.17","945.47","924.31","932.87M","1.08%"
"2023- 07- 24","929.90","934.99","935.55","920.89","966.47M","-0.50%"
"2023- 07- 21","934.58","918.51","937.29","918.19","992.32M","0.32%"
"2023- 07- 20","931.60","918.27","931.79","913.98","978.78M","0.85%"
"2023- 07- 19","923.72","917.51","923.90","910.25","1.02B","1.05%"
"2023- 07- 18","914.14","901.43","914.18","901.12","1.14B","1.76%"
"2023- 07- 17","898.29","894.75","899.44","891.18","1.12B","0.22%"
"2023- 07- 14","896.28","898.17","899.68","890.21","1.06B","0.36%"
"2023- 07- 13","893.07","885.21","895.23","884.33","1.12B","1.50%"
"2023- 07- 12","879.88","878.97","880.53","873.91","1.04B","0.13%"
"2023- 07- 11","878.73","866.55","878.76","865.65","935.39M","2.14%"
"2023- 07- 10","860.35","868.00","870.18","857.35","1.01B","-0.80%"
"2023- 07- 07","867.27","868.08","872.29","861.20","1.04B","-0.37%"
